"","hour","minute","seconds","quiet","soft_speech","loud_speech","soft_noise_speech","loud_noise_speech","soft_noise","loud_noise","warp_1","warp_2","warp_3","warp_4","warp_5","warp_6","warp_7","warp_8","warp_9","warp_10","warp_11","warp_12","warp_13","warp_14","warp_15","warp_16","warp_17","as_mix_bassZeroOrOne_1","as_mix_bassZeroOrOne_2","as_zoom_amount_1","as_zoom_amount_2","as_mie_factor","speech_detector_probability","speech_detector_states_1","speech_detector_states_2","speech_detector_states_3","rear_speech_detector_probability","noise_detector_probability","broadband power","pnr_env_state_1","pnr_env_state_2","pnr_env_state_3","pnr_env_state_4","pnr_env_state_5","pnr_env_state_6","pnr_env_state_7","pnr_env_state_8","pnr_env_state_9","pnr_env_state_10","pnr_env_state_11","pnr_env_state_12","pnr_env_state_13","pnr_env_state_14","pnr_env_state_15","pnr_env_state_16","pnr_env_state_17","pnr_amb_state_1","pnr_amb_state_2","pnr_amb_state_3","pnr_amb_state_4","pnr_amb_state_5","pnr_amb_state_6","pnr_amb_state_7","pnr_amb_state_8","pnr_amb_state_9","pnr_amb_state_10","pnr_amb_state_11","pnr_amb_state_12","pnr_amb_state_13","pnr_amb_state_14","pnr_amb_state_15","pnr_amb_state_16","pnr_amb_state_17","class","mean_env","mean_amb"
"839",12,51,33,0.02228,0.51941,0.48056,0.00021,0.00021,0.00021,0.00021,51.25781,50.10938,48,47.97656,39.96094,33.07031,33.72656,33.60938,31.73438,33.11719,31.24219,31.47656,29.39063,23.13281,25.33594,25.99219,19.5,0.8031134605,0.196886301,0,0.9999998808,0,0.98563,0,0.98685,0.98685,0.96304,0,58.66406,45.46318,51.18418,50.73766,44.77273,37.70028,35.19871,37.41127,34.60923,29.21115,27.62691,28.46173,28.33347,27.62568,26.40085,26.06938,26.84777,22.52658,45.59109,47.99574,40.45083,33.30629,28.9757,27.22894,26.68018,26.67082,26.68168,26.66012,28.11052,29.39298,28.44038,26.10681,26.59584,26.63901,22.16145,5,34.12828,30.4522576470588
"840",12,51,34,0.1828,0.64517,0.3548,0,0,0,0,43.78125,45.75,40.45313,29.97656,26.39063,24.96094,25.78125,25.125,19.38281,20.60156,27.04688,29.88281,22.5,20.48438,29.92969,28.05469,24.58594,0.804217577,0.1957821846,0,0.9999998808,0,0.9368,0,0.96179,0.93634,0.80344,0.00012,51.07031,43.78997,47.16622,42.94356,35.86597,30.75524,28.39419,28.29541,29.12549,26.74356,26.75262,28.23258,29.16597,27.33823,25.63962,26.90087,26.67254,22.04491,44.56413,48.02114,43.66563,36.94866,31.8511,29.38138,29.08953,29.68615,28.76698,27.9789,28.60983,30.08206,28.78807,26.13525,26.91674,26.97052,22.50004,5,30.9309970588235,31.7621241176471
"841",12,51,36,0.9209,0.74118,0.25879,0,0,0,0,46.42969,48.72656,44.71875,37.78125,34.38281,32.88281,26.88281,27.07031,24.11719,19.73438,28.96875,30.65625,23.39063,18.5625,25.73438,30.51563,8.10938,0.8060196638,0.1939800978,0,0.9999997616,0,0.77612,0,0.86548,0.77582,0.64307,0.00012,45.5625,41.73887,45.1302,40.95948,36.7213,30.64463,28.93805,27.83338,31.03704,29.79858,27.20068,27.04434,28.60489,27.33689,24.79105,25.6674,25.67863,22.24638,42.5911,45.49281,41.243,35.71923,30.88974,28.26728,27.48732,28.20333,27.86363,27.19767,27.3426,28.95427,27.75907,25.24701,26.13229,26.37246,22.00745,5,30.6689288235294,30.5158976470588
"842",12,51,37,0.94977,0.74713,0.25284,0.00021,0.00021,0.00021,0.00021,42.21094,41.92969,31.21875,22.28906,16.6875,19.6875,22.73438,22.3125,22.26563,23.90625,27.02344,28.71094,28.80469,28.78125,27.375,26.97656,20.76563,0.8078558445,0.1921439171,0,0.9999997616,0,0.92807,0,0.95547,0.92776,0.89606,0,45.11719,41.9387,42.44211,32.82854,24.40642,21.04686,20.61398,20.07432,19.81778,21.02286,22.95322,25.34454,27.66509,26.82952,24.61328,25.30455,25.19027,19.72515,42.82053,44.06661,36.18195,29.57071,25.63469,24.51091,23.80507,23.6073,24.22477,25.27252,26.87954,28.66669,27.66122,25.43602,26.21936,26.15277,21.09594,5,25.9892464705882,28.3415647058824
"843",12,51,39,0.99997,0.74619,0,0,0,0,0,45.46875,45.16406,35.69531,25.82813,19.80469,16.59375,24.77344,26.08594,28.57031,27.09375,25.52344,31.99219,31.52344,25.78125,24.42188,22.52344,22.40625,0.8105835915,0.1894161701,0,0.9999997616,0,0.74329,0,0.84451,0.74283,0.71112,0.00021,38.53125,41.33265,42.09974,32.73219,24.64025,20.9278,20.05579,19.20236,20.37975,22.21727,22.6684,24.75852,27.07678,26.36913,24.1982,25.06343,23.95263,19.69155,41.86144,42.41393,32.4964,25.02575,21.16163,20.34146,20.19971,20.60115,21.62706,22.97945,24.89715,27.16938,26.58688,24.37181,25.01325,24.97457,20.39911,5,25.7274376470588,26.0070664705882
"844",12,51,41,0.99976,0.59482,0,0.00021,0,0.00021,0,32.50781,34.26563,25.35938,25.80469,26.0625,24.04688,19.40625,17.625,24.21094,25.85156,26.01563,25.07813,17.34375,23.69531,13.07813,24.96094,17.4375,0.8130840063,0.1869157553,0,0.9999997616,0,0.59222,0,0.75388,0.59177,0.56006,0.00021,35.29688,41.59795,41.69462,31.41984,24.05825,21.74889,20.49385,18.89355,20.566,20.33413,22.40381,24.50184,26.74222,26.33481,25.41635,25.39695,24.7157,21.63966,41.50126,41.61957,31.36234,24.0514,20.58162,20.01766,20.30192,20.61655,21.37948,22.70446,24.80345,26.9078,26.52554,24.48863,25.04696,24.98054,20.38746,5,25.76226,25.7221552941176
"845",12,51,42,0.99994,0.44193,0,3e-05,0,3e-05,0,40.59375,39.84375,29.17969,22.52344,20.4375,20.22656,20.625,21,21.46875,20.46094,29.67188,33.28125,31.71094,22.78125,21.63281,24.14063,20.60156,0.852347374,0.1476523876,0,0.9999997616,0,0.43918,0,0.66205,0.43872,0.68759,0,34.35938,41.52792,41.63743,31.3658,23.41398,20.03396,20.93962,19.99594,20.77736,21.03932,22.65344,23.82223,26.71312,26.20025,24.34408,24.98595,24.88135,20.97251,41.72969,41.6879,31.4125,23.65689,20.19417,19.70451,19.50528,19.96983,21.07752,22.49666,24.48226,26.52641,25.99972,24.399,24.97519,24.89004,20.46406,5,25.6061329411765,25.4806841176471
"846",12,58,53,0.36316,0,0,0,0,0.43622,0.56375,43.875,42.96094,32.41406,26.71875,27.89063,24.42188,23.76563,24,22.99219,21.09375,23.29688,30.70313,36.14063,35.71875,40.57031,44.08594,37.35938,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.64087,78.35156,43.02563,42.30186,33.24416,30.76134,30.93346,31.0966,30.70024,31.30209,33.8692,33.78371,33.48387,36.58998,37.41042,37.60074,38.43353,41.30329,34.44335,42.94595,42.24749,33.19278,30.31527,27.68286,26.4274,25.39515,25.22251,24.8808,25.09973,25.31794,25.5415,26.05102,25.9203,26.67673,27.1393,23.42665,6,35.3107923529412,28.4401988235294
"847",12,58,55,0.10809,0,0,0,0,0.46359,0.53638,44.83594,43.82813,33.07031,31.64063,31.05469,27.72656,20.55469,25.35938,32.71875,31.875,31.94531,34.73438,34.6875,35.92969,42.86719,47.20313,43.40625,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.897,76.5,43.00949,42.26821,33.1738,31.33975,30.24014,29.54041,28.26879,28.56183,28.62134,31.26073,32.24963,33.56496,35.26933,34.97672,34.1665,34.48538,31.01874,42.94773,42.23235,33.00947,30.01955,27.69132,26.45024,25.55368,25.47184,25.46986,25.19354,25.44596,25.91996,26.11363,25.85891,26.7975,27.72038,24.01385,6,33.05975,28.5829276470588
"848",12,58,57,0,0,0,0,0,0.43503,0.56494,44.88281,44.57813,34.59375,24.65625,25.54688,30.32813,28.64063,30.49219,32.76563,33.9375,34.57031,35.74219,36.86719,39.82031,41.29688,39.11719,32.60156,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.99997,78,42.90738,42.16907,32.88532,31.4781,28.01681,27.00724,28.61162,27.30889,27.15264,26.87633,27.70216,26.33886,27.65238,26.78508,27.92325,27.79316,23.177,42.91778,42.20837,32.92068,29.89876,27.72664,26.35582,25.27402,24.9249,25.08376,25.02346,25.51392,26.17351,26.53048,26.20501,27.07575,27.72468,23.95839,6,29.5167817647059,28.5597605882353
