"","hour","minute","seconds","quiet","soft_speech","loud_speech","soft_noise_speech","loud_noise_speech","soft_noise","loud_noise","warp_1","warp_2","warp_3","warp_4","warp_5","warp_6","warp_7","warp_8","warp_9","warp_10","warp_11","warp_12","warp_13","warp_14","warp_15","warp_16","warp_17","as_mix_bassZeroOrOne_1","as_mix_bassZeroOrOne_2","as_zoom_amount_1","as_zoom_amount_2","as_mie_factor","speech_detector_probability","speech_detector_states_1","speech_detector_states_2","speech_detector_states_3","rear_speech_detector_probability","noise_detector_probability","broadband power","pnr_env_state_1","pnr_env_state_2","pnr_env_state_3","pnr_env_state_4","pnr_env_state_5","pnr_env_state_6","pnr_env_state_7","pnr_env_state_8","pnr_env_state_9","pnr_env_state_10","pnr_env_state_11","pnr_env_state_12","pnr_env_state_13","pnr_env_state_14","pnr_env_state_15","pnr_env_state_16","pnr_env_state_17","pnr_amb_state_1","pnr_amb_state_2","pnr_amb_state_3","pnr_amb_state_4","pnr_amb_state_5","pnr_amb_state_6","pnr_amb_state_7","pnr_amb_state_8","pnr_amb_state_9","pnr_amb_state_10","pnr_amb_state_11","pnr_amb_state_12","pnr_amb_state_13","pnr_amb_state_14","pnr_amb_state_15","pnr_amb_state_16","pnr_amb_state_17","class","mean_env","mean_amb"
"106",12,25,45,0,0,0,0.4021,0.59787,0.18097,0.18097,65.10938,75.39844,78.82031,81.67969,79.10156,74.67188,72.49219,67.19531,58.03125,56.20313,59.55469,60.04688,53.60156,44.36719,42.91406,42.09375,42.75,0.9999998808,0,0.9999998808,0,0,0.81473,0,0.88837,0.81396,0,0.99997,79.82813,67.05575,73.63813,75.56907,74.23607,71.18414,69.71985,68.48849,65.2041,59.88946,56.96144,55.4132,54.55873,52.43534,48.83894,45.36527,43.11166,37.03006,68.93852,75.26065,76.48448,76.35439,73.42674,69.47303,66.57726,65.12059,62.64238,58.25307,55.1234,54.57843,52.61132,48.50902,46.08287,43.82958,38.93639,1,59.9235117647059,60.7177717647059
"107",12,25,46,0,0,0,0.45566,0.54431,0.31555,0.31555,78.75,83.10938,82.45313,83.08594,80.36719,73.14844,65.10938,67.64063,65.78906,61.10156,50.74219,42.25781,46.52344,49.66406,51.1875,49.82813,46.125,0.9999998808,0,0.9999998808,0,0,0.68045,0,0.80771,0.67953,0,0.99997,77.10938,69.04797,74.96233,76.23061,74.84278,73.1558,70.32287,70.08082,70.70726,65.70998,58.32486,56.03234,55.16358,52.44916,49.78847,49.84482,46.52821,43.25944,68.19727,74.52946,75.72206,75.76852,72.69337,69.0692,66.37486,64.19315,61.5117,57.6045,55.35687,54.61019,52.22694,49.01233,48.07526,46.29146,40.64707,1,62.1441941176471,60.6990711764706
"108",12,25,47,0,0,0,0.3775,0.62247,0.11929,0.11929,80.46094,81.60938,81.82031,80.69531,75.44531,73.47656,71.17969,75.49219,76.00781,71.08594,70.125,71.29688,69.84375,64.89844,58.21875,48.46875,39.77344,0.9999998808,0,0.9999998808,0,0,0.88861,0,0.88922,0.88922,0.09695,0.99997,81.96094,87.24439,91.26572,87.12565,82.82009,75.8347,71.09905,66.29118,66.11081,64.18489,59.60419,56.7054,57.64952,56.4152,53.44626,52.84396,47.80221,39.14889,71.98455,78.13595,79.40169,78.2279,74.98865,70.95716,67.82513,66.90082,64.58271,60.16439,58.42625,58.25097,56.08372,53.17421,52.10388,49.56071,43.37614,1,65.6230652941177,63.7732252941177
"109",12,25,48,0,0,0,0.39734,0.60263,0.01929,0.01929,90.70313,97.52344,95.71875,86.01563,74.60156,69.86719,66.63281,65.39063,64.3125,69.77344,71.22656,68.95313,65.53125,57.42188,48.39844,51.49219,54.79688,0.9963214397,0.0036783218,0.9999998808,0,0,0.99045,0,0.99167,0.99167,0,0.99997,80.88281,89.39171,96.35637,94.52,86.61917,75.28201,72.99216,68.77574,71.05206,70.83298,63.8455,61.97592,62.34506,58.43645,53.47351,49.99805,51.99534,46.73307,70.44719,76.59257,78.29111,77.87723,75.50904,72.57659,69.65837,67.42964,64.3252,60.29552,58.2727,57.63745,55.48734,52.06031,49.93321,47.67172,41.39566,1,69.0955941176471,63.2624029411765
"110",12,25,50,0,0,0,0.36005,0.63992,0.01083,0.01083,91.47656,90.09375,80.15625,79.17188,69.77344,62.10938,68.22656,69.23438,66.72656,64.14844,62.97656,61.54688,55.89844,49.42969,51.04688,55.38281,55.82813,0.9918946028,0.0081051588,0.9999998808,0,0,0.98639,0,0.99164,0.98608,0,0.99997,82.75781,81.54841,86.14372,84.00131,79.29336,73.69737,68.5485,65.5811,65.48084,64.10428,61.10172,59.49587,59.56805,56.74016,52.67053,60.24813,59.57915,57.53269,74.91329,80.25226,80.60013,78.86108,74.81826,70.34517,67.37054,66.68002,64.49515,61.19726,59.7586,59.52273,57.53917,54.27946,52.50836,50.49388,44.7212,1,66.7844229411765,64.6092094117647
"111",12,25,51,0,0,0,0.4136,0.58636,0.07193,0.07193,63.96094,69.32813,73.64063,78.14063,74.57813,67.71094,68.41406,68.67188,67.73438,72.09375,75.30469,75.35156,65.41406,73.59375,77.83594,74.50781,63.77344,0.9867501259,0.0132496357,0.9999932051,6.5565e-06,0,0.94147,0,0.9433,0.9433,0.02197,0.99997,79.6875,75.94429,81.01427,79.95153,81.29754,76.38496,71.73949,73.39764,74.80627,73.36992,66.26706,68.06922,67.75677,64.56533,60.3781,59.70538,52.35482,51.49999,69.45891,75.84642,77.3561,77.25882,74.8348,70.89215,67.97773,66.18608,62.96371,59.0415,57.75417,57.65054,55.16933,51.01995,49.85997,47.57383,41.55124,1,69.3236811764706,62.4938382352941
"112",12,25,52,0,0,0,0.36996,0.63,0.00076,0.00076,65.20313,80.46094,85.28906,82.35938,74.32031,75.5625,75.91406,70.28906,60.49219,59.625,56.95313,60.04688,54.28125,57.63281,58.54688,53.69531,50.03906,0.9810239077,0.0189758539,0.9999998808,0,0,0.99493,0,0.9964,0.99402,0,0.99997,82.19531,76.52447,81.77431,84.14813,78.2707,74.62898,70.97302,68.85979,65.96539,62.34831,59.30057,57.94455,57.87896,57.31903,61.01445,64.38796,65.57778,62.31831,72.38698,78.16115,79.30097,79.36811,76.44175,72.09646,68.85386,66.7594,63.66003,59.91971,58.58801,58.58402,56.72729,53.36865,50.48392,48.26082,41.78534,1,67.6020417647059,63.8086158823529
"113",12,25,53,0,0,0,0.42075,0.57922,0.06134,0.06134,64.96875,73.10156,74.22656,74.57813,78.25781,77.39063,72.44531,66.14063,56.15625,58.5,50.34375,51.16406,51.98438,47.88281,45.49219,41.64844,35.97656,0.9746004343,0.0253993273,0.9999998808,0,0,0.93527,0,0.96069,0.93451,0,0.99997,78.89063,66.4784,73.32479,75.15689,75.29526,73.87193,71.49999,69.84133,69.75803,65.53371,57.16,56.60307,57.2722,53.52634,49.87364,48.98777,48.98807,38.53829,68.38671,74.91426,76.31995,75.98859,73.40137,70.056,66.76082,64.62852,60.98402,56.40417,55.32155,55.6207,53.87964,50.58565,48.95179,46.77973,40.71329,1,61.8652770588235,61.1586329411765
"114",12,25,55,0,0,0,0.34656,0.65341,0.04807,0.04807,84.70313,89.625,83.48438,81.98438,78.96094,70.73438,68.57813,70.59375,67.21875,60.51563,56.88281,54.63281,54.44531,53.48438,48.82031,49.38281,39.51563,0.9675931931,0.0324065685,0.9999998808,0,0,0.94702,0,0.96756,0.94595,0.0177,0.99997,83.27344,79.44671,83.57699,82.88632,79.61506,75.25366,70.57654,67.90295,68.52011,65.15284,58.24754,57.8964,58.93513,61.30631,64.00429,68.21592,72.14078,66.3175,73.53026,78.77783,80.20235,79.16913,75.34367,70.81148,67.49114,66.08637,63.41926,59.21924,57.23763,57.41442,55.67315,51.97845,50.13464,47.85677,41.55705,1,69.4114735294118,63.2884023529412
"115",12,25,56,0,0,0,0.42075,0.57922,0.09003,0.09003,88.14844,92.17969,89.25,82.40625,84.49219,85.21875,83.90625,87.1875,84.79688,75.70313,73.96875,76.92188,73.21875,62.10938,56.27344,55.96875,45.60938,0.9599958658,0.0400038958,0.9999998808,0,0,0.9072,0,0.94412,0.90689,0,0.99997,79.54688,86.8445,93.41307,90.90731,89.09762,87.49773,81.0289,71.47087,71.02118,70.36575,66.38281,66.31675,69.66773,68.87089,62.29843,52.71159,48.23588,41.58298,69.65387,75.81484,77.14063,77.60968,74.41241,69.58956,66.71528,65.53282,62.87835,59.42919,57.21156,56.46385,54.26336,50.29869,48.76117,46.90529,41.10044,1,71.6302347058824,61.9871170588235
